token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.12821492552757263,0.8796642965130146
1,4692, constructor,·constructor,-0.3865238428115845,0.6794145260289864
2,198,"
",↵,-0.009756971150636673,0.9902904736611126
3,220, ,·,-0.009297054260969162,0.9907460297265603
4,9592, ·,··,-0.028144855052232742,0.9722475216348966
5,19706, intro,·intro,-5.786324977874756,0.0030692410041291184
6,305, h,·h,-0.012685204856097698,0.9873949132257835
7,198,"
",↵,-0.038635578006505966,0.9621012561266733
8,262,   ,···,-0.004567072726786137,0.995443340491187
9,4734, exact,·exact,-3.2302772998809814,0.039546531019443575
10,1597, And,·And,-3.371835231781006,0.034326582266121515
11,90391,.intro,.intro,-0.06997046619653702,0.9324213574484176
12,305, h,·h,-3.2703804969787598,0.03799196849539616
13,9517,.right,.right,-6.573085308074951,0.001397479100348225
14,305, h,·h,-0.010959196835756302,0.989100636387724
15,8272,.left,.left,-4.768360213347478e-06,0.9999952316511552
16,198,"
",↵,-0.011775271967053413,0.9882937852263803
17,220, ,·,-0.07333352416753769,0.9292908373807091
18,9592, ·,··,-0.0007184546557255089,0.9992818033710235
19,19706, intro,·intro,-0.05773789435625076,0.9438973158306553
20,305, h,·h,-0.00021169328829273582,0.9997883291171503
21,198,"
",↵,-0.00398579565808177,0.9960221370825049
22,262,   ,···,-0.000839238753542304,0.9991611133088054
23,4734, exact,·exact,-0.25222644209861755,0.7770687570648243
24,1597, And,·And,-0.20079649984836578,0.8180788937946752
25,90391,.intro,.intro,-0.00010513706365600228,0.9998948684630514
26,305, h,·h,-0.03537394478917122,0.9652444006479214
27,9517,.right,.right,-1.308672547340393,0.27017846757046027
28,305, h,·h,-0.012515458278357983,0.9875625343593356
29,8272,.left,.left,-5.364403477869928e-06,0.9999946356109105
30,198,"
",↵,-0.29173964262008667,0.7469629879851946
