token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.12821492552757263,0.8796642965130146
1,4692, constructor,·constructor,-0.3865238428115845,0.6794145260289864
2,198,"
",↵,-0.009756971150636673,0.9902904736611126
3,220, ,·,-0.009297054260969162,0.9907460297265603
4,9592, ·,··,-0.028144855052232742,0.9722475216348966
5,19706, intro,·intro,-5.786324977874756,0.0030692410041291184
6,305, h,·h,-0.012685204856097698,0.9873949132257835
7,198,"
",↵,-0.038635578006505966,0.9621012561266733
8,262,   ,···,-0.004567072726786137,0.995443340491187
9,4734, exact,·exact,-3.2302772998809814,0.039546531019443575
10,42005, ⟨,·⟨,-1.0121454000473022,0.36343842175929797
11,71,h,h,-0.028809210285544395,0.9716018184177293
12,8272,.left,.left,-14.682511329650879,4.202099667935226e-07
13,11,",",",",-0.09701710939407349,0.9075404785327542
14,305, h,·h,-0.002510493155568838,0.9974926554969319
15,9517,.right,.right,-6.425174069590867e-05,0.999935750323403
16,39609,⟩,⟩,-0.00017438798386137933,0.9998256272208392
17,198,"
",↵,-0.011173887178301811,0.98888830882644
18,220, ,·,-0.10063602775335312,0.9042620993045509
19,9592, ·,··,-0.0009006973123177886,0.9990997081937512
20,19706, intro,·intro,-0.12823830544948578,0.8796437302708718
21,305, h,·h,-0.0008261366747319698,0.9991742044822168
22,198,"
",↵,-0.004164950922131538,0.9958437104570482
23,262,   ,···,-0.0007827793597243726,0.9992175269321137
24,4734, exact,·exact,-0.16772982478141785,0.8455822591976558
25,42005, ⟨,·⟨,-0.004098350182175636,0.9959100365937055
26,71,h,h,-0.004695579409599304,0.9953154275885794
27,8272,.left,.left,-10.911711692810059,1.82433178021791e-05
28,11,",",",",-0.08027500659227371,0.9228625182097545
29,305, h,·h,-0.0008275660220533609,0.9991727763162647
30,9517,.right,.right,-8.260862523457035e-05,0.999917394786764
31,39609,⟩,⟩,-0.0026578123215585947,0.9973457165345716
32,198,"
",↵,-0.23450198769569397,0.7909646616927638
