token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.1282159686088562,0.8796633789521296
1,4692, constructor,·constructor,-0.38652536273002625,0.6794134933751035
2,198,"
",↵,-0.009757207706570625,0.9902902394020523
3,220, ,·,-0.00929728988558054,0.9907457962824396
4,9592, ·,··,-0.028144970536231995,0.9722474093558711
5,19706, intro,·intro,-5.78632116317749,0.0030692527123767164
6,305, h,·h,-0.012684970162808895,0.9873951449607703
7,15,0,0,-13.666864395141602,1.160262372604778e-06
8,198,"
",↵,-0.025225574150681496,0.9750899321350972
9,262,   ,···,-0.005964338313788176,0.9940534130427399
10,614, have,·have,-3.2093889713287354,0.040381279855042765
11,305, h,·h,-0.05360523611307144,0.9478061923156887
12,16,1,1,-0.12823306024074554,0.8796483441979547
13,549, :,·:,-0.02700304426252842,0.973358278361693
14,393, P,·P,-0.48735490441322327,0.6142489945765367
15,1669, :=,·:=,-1.8528978824615479,0.15678217106684703
16,553, by,·by,-3.6498308181762695,0.02599552637730933
17,4734, exact,·exact,-4.278483867645264,0.013863665312156232
18,305, h,·h,-0.04922008886933327,0.9519715882899807
19,15,0,0,-7.867782187531702e-06,0.9999921322487634
20,8272,.left,.left,-3.8577146530151367,0.02111620227125167
21,198,"
",↵,-0.004375289659947157,0.9956342679756348
22,262,   ,···,-9.226373367710039e-05,0.9999077405224903
23,614, have,·have,-0.00018511488451622427,0.9998149022481868
24,305, h,·h,-0.00014661667228210717,0.999853394075417
25,17,2,2,-0.000903913052752614,0.999096495353587
26,549, :,·:,-3.397406908334233e-05,0.9999660265080288
27,1207, Q,·Q,-7.116541382856667e-05,0.9999288371183694
28,1669, :=,·:=,-1.7404405298293568e-05,0.9999825957461574
29,553, by,·by,-0.00014685506175737828,0.9998531557209194
30,4734, exact,·exact,-0.00013124081306159496,0.9998687677986372
31,305, h,·h,-2.90866428258596e-05,0.9999709137801864
32,15,0,0,-2.5510462364763953e-05,0.9999744898630243
33,9517,.right,.right,-6.23445157543756e-05,0.9999376574276245
34,198,"
",↵,-0.0023105847649276257,0.9976920825812783
35,262,   ,···,-0.0011387537233531475,0.9988618944106231
36,614, have,·have,-6.652121067047119,0.001291280306617224
37,305, h,·h,-0.006192070432007313,0.9938270609281662
38,18,3,3,-0.017476258799433708,0.9826755652858226
39,549, :,·:,-0.002130026463419199,0.997872240433146
40,1207, Q,·Q,-0.027209561318159103,0.9731572840310649
41,73978, ∧,·∧,-0.036420729011297226,0.9642345266911045
42,393, P,·P,-1.823885577323381e-05,0.9999817613105537
43,1669, :=,·:=,-0.00021050144277978688,0.9997895207110944
44,553, by,·by,-0.2154058963060379,0.8062141344166857
45,198,"
",↵,-0.23432941734790802,0.7911011705178674
46,414,     ,·····,-0.0008244691416621208,0.9991758706396345
47,45364, refine,·refine,-5.557361602783203,0.0038589444062705346
48,1597, And,·And,-2.573780059814453,0.07624678259849416
49,90391,.intro,.intro,-0.0003165697562508285,0.9996834803466673
50,937, ?,·?,-3.395833969116211,0.033512594046389683
51,62,_,_,-2.5588598251342773,0.07739293163248902
52,937, ?,·?,-0.08073046803474426,0.9224422856231433
53,12924,"_
",_↵,-0.002266340423375368,0.9977362257870803
54,414,     ,·····,-0.0002783149539027363,0.9997217237721113
55,9592, ·,··,-0.019040197134017944,0.9811399224371752
56,4734, exact,·exact,-0.04873073846101761,0.9524375499753874
57,305, h,·h,-0.005359803792089224,0.9946545343283141
58,17,2,2,-0.010404394008219242,0.9896495444713093
59,198,"
",↵,-0.005773297511041164,0.9942433359456753
60,414,     ,·····,-3.4689302992774174e-05,0.9999653112986742
61,9592, ·,··,-0.0001515035255579278,0.9998485079505216
62,4734, exact,·exact,-4.327203714638017e-05,0.9999567288990747
63,305, h,·h,-2.8967437174287625e-05,0.9999710329823779
64,16,1,1,-4.076874756719917e-05,0.9999592320834669
65,198,"
",↵,-0.0006803343421779573,0.9993198970327569
66,262,   ,···,-0.019941091537475586,0.9802564170043478
67,614, have,·have,-7.557344436645508,0.0005222602993322277
68,305, h,·h,-0.0019199287053197622,0.9980819131788463
69,19,4,4,-0.0071095810271799564,0.9929156322566655
70,549, :,·:,-0.0024730355944484472,0.9975300198388265
71,320, (,·(,-3.621610164642334,0.026739586674083465
72,48,Q,Q,-0.028077399358153343,0.9723131074783299
73,73978, ∧,·∧,-0.00030393750057555735,0.9996961086837474
74,393, P,·P,-1.9073304429184645e-05,0.9999809268774651
75,8,),),-0.04756457731127739,0.9535488935206098
76,77650, ↔,·↔,-3.878866195678711,0.020674252455003952
77,320, (,·(,-0.041676923632621765,0.9591796187859879
78,48,Q,Q,-0.10226608067750931,0.9027893049178844
79,73978, ∧,·∧,-0.0010754045797511935,0.9989251734605262
80,393, P,·P,-3.671578815556131e-05,0.9999632848858607
81,8,),),-0.0012435331009328365,0.9987572397659586
82,1669, :=,·:=,-0.0001711698860162869,0.9998288447627128
83,358, I,·I,-7.839025020599365,0.00039405304702911753
84,542,ff,ff,-0.0001716466504149139,0.9998283680800286
85,1746,.r,.r,-0.1297975331544876,0.8782732341315389
86,1489,fl,fl,-0.00015662873920518905,0.9998433835264354
87,198,"
",↵,-0.004523046780377626,0.9954871667910882
88,262,   ,···,-0.004423713777214289,0.9955860564323974
89,4734, exact,·exact,-1.5853447914123535,0.20487714105856122
90,320, (,·(,-3.356595039367676,0.03485373271880432
91,40,I,I,-1.5235183238983154,0.21794373978116205
92,542,ff,ff,-2.3841830625315197e-06,0.9999976158197796
93,16870,.mp,.mp,-1.5048270225524902,0.22205570113844264
94,305, h,·h,-0.1037430539727211,0.9014568934336239
95,19,4,4,-0.004766174592077732,0.9952451655944535
96,305, h,·h,-4.221618175506592,0.014674878752149217
97,18,3,3,-0.005114448256790638,0.9948986082652427
98,340,")
",)↵,-0.46762600541114807,0.6264877828897655
99,220, ,·,-0.7612709403038025,0.4670724284474004
100,9592, ·,··,-0.0011133907828480005,0.9988872288066999
101,19706, intro,·intro,-0.1958441287279129,0.8221403727571402
102,305, h,·h,-0.0003297977091278881,0.9996702566681586
103,15,0,0,-0.24385526776313782,0.7836010383871416
104,198,"
",↵,-0.002736159600317478,0.9972675802726211
105,262,   ,···,-0.0015666128601878881,0.9984346136371732
106,614, have,·have,-0.025893032550811768,0.9744393173223264
107,305, h,·h,-0.00029333101701922715,0.9997067120003174
108,16,1,1,-0.0039220331236720085,0.9960856480030805
109,549, :,·:,-0.0006260104128159583,0.9993741854908211
110,1207, Q,·Q,-0.7640366554260254,0.4657824238837245
111,1669, :=,·:=,-0.017450721934437752,0.9827006600594876
112,553, by,·by,-0.00047815332072786987,0.9995219609763533
113,4734, exact,·exact,-0.00334251974709332,0.9966630602532182
114,305, h,·h,-0.0005646541831083596,0.999435505204064
115,15,0,0,-3.576272320060525e-06,0.9999964237340748
116,8272,.left,.left,-0.008568782359361649,0.9914678250213532
117,198,"
",↵,-3.85038583772257e-05,0.9999614968828868
118,262,   ,···,-1.1920858014491387e-05,0.9999880792130387
119,614, have,·have,-1.1205610462639015e-05,0.99998879445232
120,305, h,·h,-6.949660019017756e-05,0.9999305058146426
121,17,2,2,-5.173549288883805e-05,0.9999482658453687
122,549, :,·:,-6.6756979322235566e-06,0.9999933243243502
123,393, P,·P,-2.3841830625315197e-06,0.9999976158197796
124,1669, :=,·:=,-1.3232143828645349e-05,0.9999867679437158
125,553, by,·by,-1.0013530300057027e-05,0.9999899865198352
126,4734, exact,·exact,-3.0278701160568744e-05,0.9999697217572346
127,305, h,·h,-3.6000557884108275e-05,0.9999640000901282
128,15,0,0,-0.053072698414325714,0.9483110692652742
129,9517,.right,.right,-3.480850500636734e-05,0.9999651921008026
130,198,"
",↵,-0.00012754580529872328,0.9998724623283217
131,262,   ,···,-0.00014983484288677573,0.9998501763817926
132,45364, refine,·refine,-9.809111595153809,5.494864176053447e-05
133,1597, And,·And,-0.7614079713821411,0.4670084293938978
134,90391,.intro,.intro,-0.0002265911753056571,0.9997734344945358
135,937, ?,·?,-0.031190378591418266,0.9692910232497347
136,62,_,_,-0.00013731967192143202,0.9998626897559931
137,937, ?,·?,-0.0006129054818302393,0.9993872823063672
138,12924,"_
",_↵,-0.00254568993113935,0.9974575475896493
139,262,   ,···,-0.00018571082910057157,0.999814306414088
140,9592, ·,··,-0.0018794744974002242,0.9981222906087958
141,4734, exact,·exact,-0.004232733976095915,0.9957762114167537
142,305, h,·h,-0.000846266164444387,0.9991540918177763
143,16,1,1,-0.007550156209617853,0.9924782746223727
144,198,"
",↵,-0.0008257793379016221,0.9991745615240238
145,262,   ,···,-4.7444173105759546e-05,0.9999525569523512
146,9592, ·,··,-1.5139465176616795e-05,0.9999848606494245
147,4734, exact,·exact,-5.483612312673358e-06,0.9999945164027223
148,305, h,·h,-5.9602869441732764e-05,0.999940398906774
149,17,2,2,-2.90866428258596e-05,0.9999709137801864
150,198,"
",↵,-0.34105244278907776,0.7110216192718413
