token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.12821492552757263,0.8796642965130146
1,4692, constructor,·constructor,-0.3865238428115845,0.6794145260289864
2,198,"
",↵,-0.009756971150636673,0.9902904736611126
3,220, ,·,-0.009297054260969162,0.9907460297265603
4,9592, ·,··,-0.028144855052232742,0.9722475216348966
5,19706, intro,·intro,-5.786324977874756,0.0030692410041291184
6,305, h,·h,-0.012685204856097698,0.9873949132257835
7,198,"
",↵,-0.038635578006505966,0.9621012561266733
8,262,   ,···,-0.004567072726786137,0.995443340491187
9,2115, left,·left,-10.785764694213867,2.0691973340633463e-05
10,198,"
",↵,-0.060496821999549866,0.9412967604551806
11,262,   ,···,-0.002900918712839484,0.997103284886101
12,4734, exact,·exact,-0.8724789619445801,0.41791427051887337
13,305, h,·h,-0.016791552305221558,0.9833486400301055
14,9517,.right,.right,-11.54247760772705,9.708802519484432e-06
15,198,"
",↵,-0.017369182780385017,0.982780791906893
16,220, ,·,-0.0842924416065216,0.9191624154535166
17,9592, ·,··,-0.0011176775442436337,0.9988829468246668
18,19706, intro,·intro,-0.06808575242757797,0.9341803619085483
19,305, h,·h,-0.00012790338951162994,0.9998721047897782
20,198,"
",↵,-0.0017841625958681107,0.9982174280760697
21,262,   ,···,-0.00039033422945067286,0.9996097419410437
22,4734, exact,·exact,-5.801297664642334,0.0030236285426282076
23,42005, ⟨,·⟨,-0.03350410237908363,0.9670509440136998
24,71,h,h,-0.003089775564149022,0.9969149928799644
25,9517,.right,.right,-0.12634313106536865,0.8813123892360523
26,11,",",",",-0.0014574630185961723,0.998543598564827
27,305, h,·h,-0.0001911934232339263,0.9998088248530639
28,8272,.left,.left,-4.6491513785440475e-06,0.9999953508594287
29,39609,⟩,⟩,-7.331102824537084e-05,0.9999266916589424
30,198,"
",↵,-0.2330506592988968,0.792113444596121
