id,num_proof_tokens,avg_logprob,min_logprob,max_logprob,csv,heatmap,barcode
correct_1,31,-0.8122806503117406,-6.573085308074951,-4.768360213347478e-06,logprob/output/correct_1/token_scores.csv,logprob/output/correct_1/heatmap.png,logprob/output/correct_1/barcode.png
correct_2,56,-0.29908888466310846,-4.895132541656494,-1.1920928244535389e-07,logprob/output/correct_2/token_scores.csv,logprob/output/correct_2/heatmap.png,logprob/output/correct_2/barcode.png
small_error_1,54,-0.8338617006863243,-15.948846817016602,-3.576278118089249e-07,logprob/output/small_error_1/token_scores.csv,logprob/output/small_error_1/heatmap.png,logprob/output/small_error_1/barcode.png
small_error_2,34,-1.1247557024190054,-15.6279878616333,-5.07818695041351e-05,logprob/output/small_error_2/token_scores.csv,logprob/output/small_error_2/heatmap.png,logprob/output/small_error_2/barcode.png
small_error_3,31,-1.1631367884940353,-11.54247760772705,-4.6491513785440475e-06,logprob/output/small_error_3/token_scores.csv,logprob/output/small_error_3/heatmap.png,logprob/output/small_error_3/barcode.png
major_error_1,14,-1.3427645451291548,-8.251533508300781,-6.007967749610543e-05,logprob/output/major_error_1/token_scores.csv,logprob/output/major_error_1/heatmap.png,logprob/output/major_error_1/barcode.png
major_error_2,33,-0.6556530267996343,-5.786324977874756,-2.2053474822314456e-05,logprob/output/major_error_2/token_scores.csv,logprob/output/major_error_2/heatmap.png,logprob/output/major_error_2/barcode.png
major_error_3,33,-1.124574641742308,-14.682511329650879,-6.425174069590867e-05,logprob/output/major_error_3/token_scores.csv,logprob/output/major_error_3/heatmap.png,logprob/output/major_error_3/barcode.png
obfuscated_1,151,-0.7167214651506836,-13.666864395141602,-2.3841830625315197e-06,logprob/output/obfuscated_1/token_scores.csv,logprob/output/obfuscated_1/heatmap.png,logprob/output/obfuscated_1/barcode.png
obfuscated_2,127,-0.9536490101819506,-10.99799919128418,-2.3841855067985307e-07,logprob/output/obfuscated_2/token_scores.csv,logprob/output/obfuscated_2/heatmap.png,logprob/output/obfuscated_2/barcode.png
