token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.16243667900562286,0.850069915793594
1,614, have,·have,-3.5144236087799072,0.029764954268996155
2,305, h,·h,-0.20545800030231476,0.8142742931231282
3,11027,_main,_main,-11.569864273071289,9.446518726398828e-06
4,549, :,·:,-0.2981448173522949,0.7421938494165675
5,54700, ∀,·∀,-0.022285854443907738,0.9779606406963596
6,379, y,·y,-0.21234208345413208,0.8086880114560537
7,11,",",",",-0.0479639433324337,0.9531681545251957
8,282, f,·f,-0.0042455545626580715,0.9957634450634749
9,220, ,·,-0.005223910789936781,0.9947897101036014
10,19,4,4,-0.0034753421787172556,0.9965306898331207
11,320, (,·(,-0.012470485642552376,0.987606948648235
12,88,y,y,-0.00014029949670657516,0.9998597103448076
13,488, +,·+,-0.0005638201837427914,0.9994363387329888
14,220, ,·,-2.992108420585282e-05,0.9999700793634253
15,16,1,1,-0.00017355366435367614,0.9998264613952123
16,8,),),-0.00012373158824630082,0.999876276066191
17,284, =,·=,-0.0003146630187984556,0.999685386482417
18,220, ,·,-0.004896553698927164,0.9951154148772422
19,17,2,2,-0.0001267114421352744,0.9998732965854205
20,13268,^(,^(,-0.04573255404829979,0.9552974184560556
21,69,f,f,-0.0004760085721500218,0.9995241047019565
22,220, ,·,-7.199982064776123e-05,0.9999280027712771
23,19,4,4,-0.0009162995265796781,0.9990841201476394
24,379, y,·y,-0.00044324109330773354,0.9995568571235138
25,488, +,·+,-0.0004477690381463617,0.9995523311954484
26,220, ,·,-0.00016544880054425448,0.9998345648853537
27,18,3,3,-0.003944475203752518,0.9960632940200369
28,8,),),-0.0001559135998832062,0.9998440985540105
29,481, -,·-,-0.00039939055568538606,0.9996006891901057
30,220, ,·,-0.0004727914638351649,0.999527320284437
31,18,3,3,-0.0003323002893012017,0.9996677549163249
32,1669, :=,·:=,-0.031014151871204376,0.9694618532796606
33,553, by,·by,-0.0006356602534651756,0.9993645417357127
34,198,"
",↵,-0.04320064187049866,0.9577192122140623
35,262,   ,···,-0.047281038016080856,0.9538193004354955
36,19706, intro,·intro,-0.0014699617167934775,0.9985311181477463
