token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.12152913212776184,0.8855652545729449
1,4886, cases,·cases,-2.368081569671631,0.09366023467058564
2,304, h,·h,-0.38071027398109436,0.6833758527062073
3,440, with,·with,-3.2290921211242676,0.03959342851337678
4,198,"
",↵,-0.044192392379045486,0.9567698645341385
5,220, ,·,-0.013624534010887146,0.9864678598687875
6,735, |,·|,-0.02168119326233864,0.9785521543475405
7,19104, intro,·intro,-1.020139217376709,0.36054474258572217
8,304, h,·h,-0.8129479289054871,0.44354858734431407
9,16,1,1,-3.104848861694336,0.04483129377303839
10,574, =>,·=>,-0.13780392706394196,0.8712695073694985
11,4581, exact,·exact,-0.9605132937431335,0.3826963998843052
12,304, h,·h,-0.020404666662216187,0.9798020998267645
13,16,1,1,-0.007620668038725853,0.9924082956310815
14,198,"
",↵,-1.1088621616363525,0.3299341593211833
