token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.1643831729888916,0.8484168691617328
1,599, have,·have,-3.444234848022461,0.03192918337620216
2,304, h,·h,-1.0137466192245483,0.3628569428504569
3,17,2,2,-2.5515241622924805,0.07796274751865492
4,535, :,·:,-0.6105289459228516,0.5430635418446075
5,1167, Q,·Q,-1.1880110502243042,0.3048269470184474
6,1610, :=,·:=,-0.3207798898220062,0.7255829416051576
7,539, by,·by,-0.7263824343681335,0.48365548461505936
8,198,"
",↵,-0.7655866146087646,0.46506103934138476
9,262,   ,···,-0.1777949184179306,0.8371140825665341
10,4581, exact,·exact,-1.4002422094345093,0.24653724306319053
11,304, h,·h,-0.7323378324508667,0.4807836835164443
12,198,"
",↵,-0.269809752702713,0.7635247390382229
13,220, ,·,-0.08599714189767838,0.9175968538021013
14,4581, exact,·exact,-0.4854602515697479,0.6154138863650142
15,304, h,·h,-0.07292266935110092,0.9296727194407874
16,198,"
",↵,-3.015385627746582,0.04902692569830259
