token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.12697559595108032,0.8807551663270542
1,25160, rw,·rw,-0.5223132967948914,0.5931468350075753
2,498, [,·[,-0.07816602289676666,0.9248108740170088
3,3335,show,show,-5.582724571228027,0.003762300885036532
4,264, a,·a,-0.11152699589729309,0.894467244131476
5,478, +,·+,-1.7192143201828003,0.17920689185244787
6,220, ,·,-0.004762259311974049,0.995249062265677
7,16,1,1,-0.05599195137619972,0.9455467462098157
8,283, =,·=,-0.01619376428425312,0.9839366498026397
9,264, a,·a,-0.9795390367507935,0.3754841433555037
10,539, by,·by,-9.637469291687012,6.52379442237255e-05
11,66989, rfl,·rfl,-0.2987605333328247,0.7417370094590946
12,60,],],-0.38835006952285767,0.678174893343212
13,198,"
",↵,-0.4429427683353424,0.6421439570037649
