id,num_proof_tokens,avg_logprob,min_logprob,max_logprob,csv,heatmap,barcode
bad_exact,5,-2.73350191116333,-9.495233535766602,-0.13416782021522522,logprob/output_3/bad_exact/token_scores.csv,logprob/output_3/bad_exact/heatmap.png,logprob/output_3/bad_exact/barcode.png
bad_rw,14,-1.426066517829895,-9.637469291687012,-0.004762259311974049,logprob/output_3/bad_rw/token_scores.csv,logprob/output_3/bad_rw/heatmap.png,logprob/output_3/bad_rw/barcode.png
bad_simpa,9,-0.9633200168609619,-2.9246697425842285,-0.00032610344351269305,logprob/output_3/bad_simpa/token_scores.csv,logprob/output_3/bad_simpa/heatmap.png,logprob/output_3/bad_simpa/barcode.png
bad_constructor,8,-0.5171658992767334,-1.8033653497695923,-0.006616115104407072,logprob/output_3/bad_constructor/token_scores.csv,logprob/output_3/bad_constructor/heatmap.png,logprob/output_3/bad_constructor/barcode.png
bad_cases,15,-0.8901367783546448,-3.2290921211242676,-0.007620668038725853,logprob/output_3/bad_cases/token_scores.csv,logprob/output_3/bad_cases/heatmap.png,logprob/output_3/bad_cases/barcode.png
bad_apply,9,-0.6735771894454956,-1.9780158996582031,-0.005190705880522728,logprob/output_3/bad_apply/token_scores.csv,logprob/output_3/bad_apply/heatmap.png,logprob/output_3/bad_apply/barcode.png
bad_omega,3,-2.1870462894439697,-4.455378532409668,-0.11255458742380142,logprob/output_3/bad_omega/token_scores.csv,logprob/output_3/bad_omega/heatmap.png,logprob/output_3/bad_omega/barcode.png
bad_ring,3,-1.8959013223648071,-4.2319159507751465,-0.1129181832075119,logprob/output_3/bad_ring/token_scores.csv,logprob/output_3/bad_ring/heatmap.png,logprob/output_3/bad_ring/barcode.png
bad_have,17,-1.0014781951904297,-3.444234848022461,-0.07292266935110092,logprob/output_3/bad_have/token_scores.csv,logprob/output_3/bad_have/heatmap.png,logprob/output_3/bad_have/barcode.png
bad_rewrite_hyp,12,-1.0163393020629883,-4.140923500061035,-0.005735725164413452,logprob/output_3/bad_rewrite_hyp/token_scores.csv,logprob/output_3/bad_rewrite_hyp/heatmap.png,logprob/output_3/bad_rewrite_hyp/barcode.png
bad_assumption,3,-1.842259407043457,-3.2268621921539307,-0.10479692369699478,logprob/output_3/bad_assumption/token_scores.csv,logprob/output_3/bad_assumption/heatmap.png,logprob/output_3/bad_assumption/barcode.png
bad_linarith,4,-1.4153599739074707,-3.6434926986694336,-0.0008158931159414351,logprob/output_3/bad_linarith/token_scores.csv,logprob/output_3/bad_linarith/heatmap.png,logprob/output_3/bad_linarith/barcode.png
