token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.06076205521821976,0.9410471303922375
1,599, have,·have,-1.9694547653198242,0.13953291366214238
2,304, h,·h,-0.5359572172164917,0.585108945645583
3,16,1,1,-1.835203766822815,0.15958098114540886
4,535, :,·:,-0.3914365768432617,0.676084928575347
5,387, P,·P,-0.06774235516786575,0.9345012119712679
6,1610, :=,·:=,-0.2545723021030426,0.7752479990036725
7,539, by,·by,-2.4537131786346436,0.08597375715689061
8,198,"
",↵,-1.433786153793335,0.238404574939326
9,262,   ,···,-0.06304167211055756,0.9389043467481472
10,54680, aes,·aes,-1.1829547882080078,0.30637213507805316
11,445,op,op,-0.0007085673278197646,0.9992916836467283
12,198,"
",↵,-0.13819167017936707,0.8709317441032585
13,220, ,·,-0.03165304288268089,0.9688426706318065
14,599, have,·have,-0.24478915333747864,0.7828695862807994
15,304, h,·h,-0.00386040355078876,0.9961470382278294
16,17,2,2,-0.005359329283237457,0.994655006300807
17,535, :,·:,-0.005344389472156763,0.9946698663696947
18,1167, Q,·Q,-0.06447732448577881,0.9375573736165741
19,1610, :=,·:=,-0.014752468094229698,0.9853558164212712
20,539, by,·by,-0.017517726868391037,0.9826348164726116
21,198,"
",↵,-0.009422002360224724,0.990622245626756
22,262,   ,···,-0.003190667135640979,0.9968144176333715
23,54680, aes,·aes,-0.16786418855190277,0.8454686512096246
24,445,op,op,-0.0014267513761296868,0.9985742659497338
25,198,"
",↵,-0.03993876650929451,0.9608482734448116
26,220, ,·,-0.011653445661067963,0.9884141927417154
27,4581, exact,·exact,-0.45312461256980896,0.6356389200917125
28,1541, And,·And,-2.5387306213378906,0.07896657468221034
29,87283,.intro,.intro,-0.007332437206059694,0.9926943795275953
30,304, h,·h,-0.01582140289247036,0.9843030980443409
31,16,1,1,-0.06410764902830124,0.9379040296387412
32,304, h,·h,-0.01335708424448967,0.9867317257513295
33,17,2,2,-0.003289290703833103,0.9967161130863315
34,198,"
",↵,-2.189485549926758,0.11197433900927262
