token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.10570071637630463,0.8996938714289019
1,9889, rc,·rc,-1.6018686294555664,0.20151960048341216
2,2191,ases,ases,-0.0003819928097072989,0.999618080140257
3,304, h,·h,-0.011544330976903439,0.9885220491284309
4,440, with,·with,-0.008918805979192257,0.991120848592809
5,40618, ⟨,·⟨,-0.07825509458780289,0.924728503217079
6,71,h,h,-0.5904678702354431,0.5540679921596547
7,47,P,P,-0.5547810792922974,0.5741979512597064
8,11,",",",",-0.01337308157235384,0.9867159408066575
9,304, h,·h,-0.013018259778618813,0.9870661112470596
10,29471,QR,QR,-10.93162727355957,1.7883585561575737e-05
11,38297,⟩,⟩,-0.32194966077804565,0.7247346719911774
12,198,"
",↵,-0.07997726649045944,0.9231373322994443
13,220, ,·,-0.008893639780580997,0.9911457916507921
14,9889, rc,·rc,-0.47959843277931213,0.6190319248310144
15,2191,ases,ases,-3.93382906622719e-05,0.9999606624830781
16,304, h,·h,-0.007025065366178751,0.992999552723891
17,29471,QR,QR,-0.00047005093074403703,0.9995300595258872
18,440, with,·with,-0.001189835020340979,0.9988108725526873
19,40618, ⟨,·⟨,-0.007325100712478161,0.9927016624502547
20,71,h,h,-0.07135835289955139,0.9311281598582611
21,48,Q,Q,-0.02180507220327854,0.9784309398511223
22,11,",",",",-0.0016113644232973456,0.9983899331273192
23,304, h,·h,-0.006035554688423872,0.993982622683215
24,49,R,R,-0.0016872945707291365,0.9983141281104818
25,38297,⟩,⟩,-0.0002537643595132977,0.9997462678359383
26,198,"
",↵,-0.017705600708723068,0.9824502224367352
27,220, ,·,-0.013021906837821007,0.9870625113650798
28,4540, constructor,·constructor,-2.147458553314209,0.11678057255185158
29,198,"
",↵,-0.1471138894557953,0.8631956629336378
30,220, ,·,-0.005011615809053183,0.9950009213848453
31,9306, ·,··,-1.055532693862915,0.34800699673030777
32,4581, exact,·exact,-0.14889484643936157,0.8616597167225947
33,304, h,·h,-0.013571378774940968,0.986520297194279
34,48,Q,Q,-4.759016990661621,0.0085740336113868
35,198,"
",↵,-0.07658008486032486,0.9262787304156119
36,220, ,·,-0.0009846605826169252,0.9990158240365397
37,9306, ·,··,-0.055206336081027985,0.9462898740640213
38,4540, constructor,·constructor,-1.2555774450302124,0.28491128011175504
39,198,"
",↵,-0.048967670649290085,0.9522119135937952
40,262,   ,···,-0.12410356849431992,0.8832883553003119
41,9306, ·,··,-0.005921558942645788,0.9940959389322407
42,4581, exact,·exact,-0.02668529376387596,0.9736676125829588
43,304, h,·h,-0.016715001314878464,0.983423919223664
44,49,R,R,-0.4773736894130707,0.6204106450799752
45,198,"
",↵,-0.0025635259225964546,0.9974397571040077
46,262,   ,···,-0.001069569610990584,0.9989310021747128
47,9306, ·,··,-0.0027422227431088686,0.9972615337152112
48,4581, exact,·exact,-0.009425545111298561,0.9906187361049483
49,304, h,·h,-0.0016599221853539348,0.9983414547235175
50,47,P,P,-0.004155928734689951,0.9958526951861973
51,198,"
",↵,-2.6468143463134766,0.07087664223677101
