token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.06584963947534561,0.9362716320022071
1,599, have,·have,-1.7647348642349243,0.1712321802420348
2,304, h,·h,-0.2363378405570984,0.7895138990561597
3,48,Q,Q,-0.5781571865081787,0.5609311061102789
4,535, :,·:,-0.2427203357219696,0.7844908771708587
5,1167, Q,·Q,-0.002453890163451433,0.9975491181638111
6,1610, :=,·:=,-0.004913517273962498,0.995098534305411
7,539, by,·by,-3.3992228507995605,0.03339921605107777
8,198,"
",↵,-1.3451193571090698,0.2605086124494136
9,262,   ,···,-0.027434594929218292,0.9729383155718665
10,3668, apply,·apply,-0.630523145198822,0.5323132510306626
11,304, h,·h,-0.059746406972408295,0.9420033887883259
12,47,P,P,-0.003980571404099464,0.9960273405687131
13,48,Q,Q,-0.0004483648226596415,0.9995517356778266
14,198,"
",↵,-0.07051151990890503,0.9319170038649719
15,262,   ,···,-0.04485848546028137,0.9561327789497425
16,4581, exact,·exact,-0.4855394959449768,0.6153651202083292
17,304, h,·h,-0.014401542022824287,0.985701664146807
18,47,P,P,-0.0030334433540701866,0.9969711528865679
19,198,"
",↵,-0.06397704780101776,0.9380265290551991
20,220, ,·,-0.0077780005522072315,0.9922521698216852
21,599, have,·have,-1.410733938217163,0.24396416280714142
22,304, h,·h,-0.016602450981736183,0.9835346101424257
23,49,R,R,-0.014932170510292053,0.9851787615094534
24,535, :,·:,-0.005107569042593241,0.9949054524094147
25,423, R,·R,-0.0011106519959867,0.9988899645496644
26,1610, :=,·:=,-0.0005364171229302883,0.999463726723013
27,539, by,·by,-0.02486400306224823,0.9754425602093962
28,198,"
",↵,-0.004512722138315439,0.9954974448928217
29,262,   ,···,-0.0008954567601904273,0.9991049440415718
30,4581, exact,·exact,-3.9297752380371094,0.019648088199682813
31,304, h,·h,-0.021465947851538658,0.9787628058780666
32,29471,QR,QR,-0.0005539313424378633,0.9994462220492041
33,198,"
",↵,-3.436846971511841,0.03216594574876852
34,220, ,·,-0.7964954376220703,0.4509064280460212
35,4581, exact,·exact,-0.10587380081415176,0.8995381618967683
36,304, h,·h,-0.009997650049626827,0.990052160319878
37,49,R,R,-0.03544977307319641,0.9651712105963284
38,198,"
",↵,-2.848848819732666,0.05791094845842866
