token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.12180103361606598,0.8853245007943747
1,4886, cases,·cases,-1.6692769527435303,0.18838322638248942
2,307, n,·n,-0.10506697744131088,0.9002642231727661
3,440, with,·with,-0.7345672249794006,0.4797130218705581
4,198,"
",↵,-0.021033795550465584,0.9791858718847215
5,220, ,·,-0.011485879309475422,0.9885798315792157
6,735, |,·|,-0.005733947269618511,0.9942824604307515
7,6942, zero,·zero,-0.17267529666423798,0.841410779380316
8,574, =>,·=>,-0.07478933036327362,0.9279389543006534
9,198,"
",↵,-2.9337682723999023,0.05319620220004627
10,406,     ,·····,-3.494743824005127,0.03035652405336676
11,66989, rfl,·rfl,-1.3904058933258057,0.248974227142622
12,198,"
",↵,-0.11223156750202179,0.8938372498739955
13,220, ,·,-0.012479904107749462,0.9875976469503647
14,735, |,·|,-0.0011757849715650082,0.9988249059927496
15,19428, succ,·succ,-0.3756991922855377,0.6868088993876654
16,580, k,·k,-1.7097828388214111,0.18090507391084487
17,80505, hk,·hk,-13.883405685424805,9.34358456983398e-07
18,574, =>,·=>,-0.017105428501963615,0.9830400387327357
19,198,"
",↵,-0.036763668060302734,0.963903909713479
20,406,     ,·····,-0.027972960844635963,0.9724146597168385
21,599, have,·have,-5.3611555099487305,0.004695477300932012
22,304, h,·h,-0.7298887372016907,0.4819626116159555
23,16,1,1,-2.1940016746520996,0.11146978909099002
24,535, :,·:,-0.5210419297218323,0.5939014219399416
25,580, k,·k,-0.8202506303787231,0.44032128278545957
26,283, =,·=,-0.35603752732276917,0.7004463338663734
27,307, n,·n,-3.801931142807007,0.02232761238796958
28,1610, :=,·:=,-1.0760798454284668,0.34092940539645955
29,539, by,·by,-0.3004196286201477,0.7405074173695362
30,198,"
",↵,-0.8394783139228821,0.431935799555098
31,285,       ,·······,-0.04397657513618469,0.956976374251732
32,66989, rfl,·rfl,-3.46425199508667,0.03129640653902809
33,198,"
",↵,-0.024780161678791046,0.9755243460916001
34,406,     ,·····,-0.005092150531709194,0.9949207924882216
35,599, have,·have,-1.089153528213501,0.3365012119687993
36,304, h,·h,-0.010265999473631382,0.989786516037261
37,17,2,2,-0.004168868530541658,0.995839809138995
38,535, :,·:,-0.005543573293834925,0.994471763954456
39,23088, Nat,·Nat,-5.483150005340576,0.004156216950543838
40,503,.s,.s,-0.4014859199523926,0.6693247437576352
41,14151,ucc,ucc,-0.00040284625720232725,0.9995972348744563
42,580, k,·k,-0.06502415239810944,0.9370448312242841
43,283, =,·=,-0.021146198734641075,0.9790758144603404
44,23088, Nat,·Nat,-1.4072697162628174,0.24481077439456522
45,503,.s,.s,-0.008047063834965229,0.9919852271094008
46,14151,ucc,ucc,-0.0002090712368953973,0.9997909506169727
47,307, n,·n,-1.1807085275650024,0.3070611002551816
48,1610, :=,·:=,-0.0064852493815124035,0.9935357344619339
49,539, by,·by,-0.06680314242839813,0.9353793197150393
50,198,"
",↵,-0.06607474386692047,0.9360608968657287
51,285,       ,·······,-0.0020268866792321205,0.9979751660684433
52,1586, sim,·sim,-4.753593444824219,0.0086206616059262
53,6387,pa,pa,-0.003542221849784255,0.9964640444170131
54,1608, using,·using,-1.8616466522216797,0.15541650261988327
55,29184, congr,·congr,-9.083504676818848,0.00011352304785920865
56,2648,Arg,Arg,-2.214045763015747,0.1092577222803928
57,23088, Nat,·Nat,-0.6038385629653931,0.5467090261548139
58,503,.s,.s,-0.00303356209769845,0.9969710345026029
59,14151,ucc,ucc,-0.0016551617300137877,0.9983462072947392
60,304, h,·h,-0.3368532657623291,0.7140136024580486
61,16,1,1,-0.01536074373871088,0.9847566307305002
62,198,"
",↵,-0.02361074648797512,0.9766658063713438
63,406,     ,·····,-0.002320694038644433,0.997681996689911
64,4581, exact,·exact,-1.9728143215179443,0.13906493154348185
65,304, h,·h,-0.37592771649360657,0.6866519648601905
66,17,2,2,-0.018658246845006943,0.9815147406905237
67,198,"
",↵,-2.7838988304138184,0.061797100665681795
