token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.1313743144273758,0.8768894805685288
1,599, have,·have,-4.767429351806641,0.008502208278076219
2,304, h,·h,-0.7040718197822571,0.49456740896789353
3,16,1,1,-2.040691375732422,0.1299388432529339
4,535, :,·:,-0.5012316703796387,0.6057840737330228
5,307, n,·n,-0.5091918110847473,0.6009810888482082
6,478, +,·+,-0.3138715922832489,0.7306128384627286
7,220, ,·,-0.008616648614406586,0.9914203683053686
8,15,0,0,-0.033927902579307556,0.966641194462104
9,283, =,·=,-0.0072477031499147415,0.9927784981126891
10,307, n,·n,-0.03870794549584389,0.9620316337935058
11,1610, :=,·:=,-0.11997787654399872,0.8869400586794679
12,539, by,·by,-0.4097464978694916,0.663818508214631
13,198,"
",↵,-0.6489573121070862,0.522590391454223
14,262,   ,···,-0.018855731934309006,0.9813209253027616
15,2222, change,·change,-7.782191276550293,0.0004170971971854593
16,307, n,·n,-0.2941722273826599,0.7451481454764716
17,283, =,·=,-3.220329761505127,0.03994188479267513
18,220, ,·,-4.627560138702393,0.009778588419837772
19,15,0,0,-0.1388297826051712,0.8703761690138548
20,198,"
",↵,-1.912108302116394,0.14776851727589999
21,262,   ,···,-0.29542163014411926,0.7442177366745114
22,12075, simp,·simp,-1.5675721168518066,0.20855090541915772
23,198,"
",↵,-0.5653182864189148,0.5681792742279369
24,220, ,·,-0.07856447994709015,0.924442450009487
25,4581, exact,·exact,-0.5314199328422546,0.5877697832454433
26,304, h,·h,-0.02227174863219261,0.9779744357223168
27,16,1,1,-0.0012356750667095184,0.9987650880653656
28,198,"
",↵,-3.000417709350586,0.04976627618671499
