token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.08899594098329544,0.9148492869554535
1,4540, constructor,·constructor,-1.317941427230835,0.26768578583531194
2,198,"
",↵,-0.11483553797006607,0.891512751847662
3,220, ,·,-0.008196881040930748,0.9918366217864114
4,9306, ·,··,-1.2262660264968872,0.2933860306127529
5,4581, exact,·exact,-0.3399285078048706,0.711821210604432
6,304, h,·h,-0.04634595662355423,0.9547116162441015
7,47,P,P,-0.0015649464912712574,0.9984362773989649
8,198,"
",↵,-0.029376009479165077,0.9710512713300916
9,220, ,·,-0.0016198145458474755,0.9983814966456761
10,9306, ·,··,-0.24046708643436432,0.7862605236595945
11,4540, constructor,·constructor,-0.12974435091018677,0.8783199439152939
12,198,"
",↵,-0.03108152560889721,0.9693965392113058
13,262,   ,···,-0.12309937179088593,0.8841757960628548
14,9306, ·,··,-0.019488759338855743,0.9806999188421814
15,4581, exact,·exact,-0.006560336332768202,0.9934611356934016
16,304, h,·h,-0.0011632826644927263,0.9988373936864982
17,48,Q,Q,-0.0010342017048969865,0.9989663328973748
18,198,"
",↵,-0.011075449176132679,0.9889856578072702
19,262,   ,···,-0.012734994292259216,0.987345752613635
20,9306, ·,··,-0.04327210783958435,0.9576507703281114
21,4540, constructor,·constructor,-5.384713649749756,0.004586153380402395
22,198,"
",↵,-0.1745966672897339,0.8397956695340173
