token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.11910013109445572,0.8877189080457302
1,9889, rc,·rc,-2.0824108123779297,0.12462939165328159
2,2191,ases,ases,-0.0003937899600714445,0.9996062875650183
3,304, h,·h,-0.021842045709490776,0.9783947644974583
4,440, with,·with,-0.0075811538845300674,0.9924475105802679
5,40618, ⟨,·⟨,-0.04502727463841438,0.9559714077030407
6,87,x,x,-0.1195787712931633,0.8872941117615856
7,11,",",",",-0.007408881094306707,0.9926184970097975
8,51426, hx,·hx,-0.1475745588541031,0.8627981066850019
9,38297,⟩,⟩,-0.001397348241880536,0.9986036275945933
10,198,"
",↵,-0.10186415165662766,0.903152235070467
11,220, ,·,-0.01576613448560238,0.9843575004117973
12,599, have,·have,-5.300760269165039,0.0049878003942064875
13,304, h,·h,-1.164230227470398,0.31216286396780446
14,16,1,1,-2.5405869483947754,0.07882012286632789
15,535, :,·:,-0.3928436040878296,0.6751343275787776
16,280, p,·p,-1.4173328876495361,0.2423595558165258
17,830, x,·x,-0.00667390413582325,0.9933483169012127
18,1610, :=,·:=,-0.08746642619371414,0.9162496331221768
19,539, by,·by,-2.80330228805542,0.06060958148718408
20,198,"
",↵,-2.096104383468628,0.12293440193587694
21,262,   ,···,-0.06366904079914093,0.9383154922931601
22,4581, exact,·exact,-0.8333943486213684,0.4345716921811655
23,51426, hx,·hx,-0.04908548668026924,0.9520997343738695
24,198,"
",↵,-0.12369704246520996,0.8836475080054664
25,220, ,·,-0.011149013414978981,0.9889129065061035
26,599, have,·have,-1.7021009922027588,0.1823001103088083
27,304, h,·h,-0.030713742598891258,0.9697531323588172
28,17,2,2,-0.0077712577767670155,0.9922588603778028
29,535, :,·:,-0.01437005028128624,0.985732706097628
30,2912, True,·True,-0.9486758708953857,0.38725345768927616
31,1610, :=,·:=,-0.007455028127878904,0.9925726916675901
32,539, by,·by,-0.09246039390563965,0.9116853185441701
33,198,"
",↵,-0.04081486165523529,0.9600068475748404
34,262,   ,···,-0.003440296743065119,0.9965656142972545
35,4886, cases,·cases,-5.1185126304626465,0.005984918062975562
36,304, h,·h,-0.6957999467849731,0.49867537462501477
37,16,1,1,-0.1364341825246811,0.8724637417307213
38,440, with,·with,-2.892580986022949,0.05543295613453184
39,198,"
",↵,-0.02042393945157528,0.9797832164892488
40,262,   ,···,-0.031734809279441833,0.9687634550962293
41,735, |,·|,-0.00906553864479065,0.9909754294578944
42,19104, intro,·intro,-0.7185856103897095,0.4874412003966609
43,20004, hp,·hp,-5.386866569519043,0.0045762903810575165
44,574, =>,·=>,-0.10948062688112259,0.8962995283112233
45,198,"
",↵,-0.33866623044013977,0.7127202937330754
46,285,       ,·······,-4.129004001617432,0.016098905323742512
47,34468, trivial,·trivial,-2.8709230422973633,0.05664661521891214
48,198,"
",↵,-0.057706162333488464,0.9439272680769867
49,220, ,·,-0.857606053352356,0.42417632330114163
50,4581, exact,·exact,-0.524846076965332,0.5916464253716859
51,304, h,·h,-0.042900215834379196,0.9580069792248901
52,17,2,2,-0.008584029041230679,0.9914527085420801
53,198,"
",↵,-3.071877956390381,0.046334059759012884
