token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.07522441446781158,0.9275353106274961
1,599, have,·have,-4.496488571166992,0.01114807355692547
2,304, h,·h,-0.9381263852119446,0.3913604075121814
3,16,1,1,-2.386810064315796,0.09192244336956092
4,535, :,·:,-0.5987288951873779,0.5495096767533235
5,281, f,·f,-1.4631479978561401,0.23150634494628192
6,220, ,·,-0.7028646469116211,0.4951647978299678
7,15,0,0,-0.04222641885280609,0.9586526989533899
8,283, =,·=,-0.0008895015926100314,0.9991108938966601
9,338, g,·g,-0.007867538370192051,0.9921633297048431
10,220, ,·,-0.00010775939153973013,0.999892246414295
11,15,0,0,-2.407998726994265e-05,0.9999759203026506
12,1610, :=,·:=,-0.003975465428084135,0.9960324262734084
13,539, by,·by,-2.403118848800659,0.09043545846790588
14,198,"
",↵,-1.65804123878479,0.19051178195695517
15,262,   ,···,-0.01569736748933792,0.9844251940478683
16,4581, exact,·exact,-1.6663577556610107,0.1889339576027288
17,304, h,·h,-0.06672842800617218,0.9354492086512971
18,220, ,·,-0.014459588564932346,0.9856444492342331
19,15,0,0,-0.00024625606602057815,0.9997537742525157
20,198,"
",↵,-0.0854501724243164,0.9180988885563103
21,220, ,·,-0.008393842726945877,0.991641287210478
22,599, have,·have,-0.3282691538333893,0.7201691573276872
23,304, h,·h,-0.002263604663312435,0.9977389553577339
24,17,2,2,-0.003042119089514017,0.9969625034661204
25,535, :,·:,-0.003926188684999943,0.9960815087166829
26,281, f,·f,-0.3385883867740631,0.7127757766530958
27,283, =,·=,-4.553308963775635,0.010532295675015239
28,338, g,·g,-0.013428482227027416,0.9866612776117624
29,1610, :=,·:=,-0.00613105483353138,0.9938877017310689
30,539, by,·by,-0.024342576041817665,0.9759513149448734
31,198,"
",↵,-0.009064121171832085,0.9909768341397638
32,262,   ,···,-0.005569417495280504,0.9944460629579688
33,4581, exact,·exact,-3.02990984916687,0.048319994017438715
34,304, h,·h,-2.765662670135498,0.06293438079207421
35,16,1,1,-2.4362270832061768,0.08749032324620694
36,198,"
",↵,-0.20084133744239807,0.8180422139276735
37,220, ,·,-0.022127756848931313,0.9781152661442689
38,4581, exact,·exact,-0.23565271496772766,0.7900550005716482
39,304, h,·h,-0.013498933054506779,0.9865917689568127
40,17,2,2,-0.007875344716012478,0.9921555845650117
41,198,"
",↵,-2.9786550998687744,0.05086119111035945
