token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.1329370141029358,0.8755202357995652
1,35826, induction,·induction,-0.8609145879745483,0.4227752402934731
2,307, n,·n,-0.11355472356081009,0.8926553457954594
3,440, with,·with,-0.9035063982009888,0.405146561050514
4,198,"
",↵,-0.05192868039011955,0.9493965750217528
5,220, ,·,-0.012794077396392822,0.9872874188850033
6,735, |,·|,-0.006812796927988529,0.9932103575608865
7,6942, zero,·zero,-0.06686034053564072,0.935325819318473
8,574, =>,·=>,-0.12505920231342316,0.882444658272881
9,198,"
",↵,-1.8730688095092773,0.15365141065120216
10,406,     ,·····,-3.7898921966552734,0.022598037863880326
11,12075, simp,·simp,-0.9710469841957092,0.37868635185199756
12,198,"
",↵,-0.29820516705513,0.7421490595898492
13,220, ,·,-0.06892751902341843,0.9333943309591151
14,735, |,·|,-0.0010183630511164665,0.9989821553045625
15,19428, succ,·succ,-0.131935715675354,0.8763973318791687
16,580, k,·k,-2.5647084712982178,0.07694160885990158
17,80505, hk,·hk,-3.5923311710357666,0.027534068926103186
18,574, =>,·=>,-0.009980063885450363,0.9900695716928118
19,198,"
",↵,-0.025828909128904343,0.9745018037091933
20,406,     ,·····,-0.04534642770886421,0.9556663551748249
21,599, have,·have,-5.1012372970581055,0.006089207743768861
22,304, h,·h,-0.9906828999519348,0.3713230279407177
23,16,1,1,-2.329397678375244,0.09735436807457279
24,535, :,·:,-0.745693564414978,0.47440515527761123
25,580, k,·k,-0.9501777291297913,0.38667229441670503
26,478, +,·+,-0.02470829151570797,0.9755944597049534
27,220, ,·,-0.002998263342306018,0.9970062269604045
28,15,0,0,-0.05381491780281067,0.9476074755461008
29,283, =,·=,-0.00562560698017478,0.9943901871157681
30,580, k,·k,-0.0011865011183544993,0.9988142024957902
31,1610, :=,·:=,-0.09599465131759644,0.9084688751671981
32,539, by,·by,-2.238409996032715,0.10662790846446148
33,198,"
",↵,-0.8600896596908569,0.4231241434370854
34,285,       ,·······,-0.06645451486110687,0.9357054755819258
35,4581, exact,·exact,-1.5428152084350586,0.2137784226731184
36,66989, rfl,·rfl,-10.500175476074219,2.753161778564169e-05
37,198,"
",↵,-0.1961631029844284,0.821878172962704
38,406,     ,·····,-0.014228089712560177,0.985872651206306
39,599, have,·have,-1.2060644626617432,0.2993731582971322
40,304, h,·h,-0.011982838623225689,0.9880886696783757
41,17,2,2,-0.006305798422545195,0.9937140414004484
42,535, :,·:,-0.010023496113717556,0.9900265716989732
43,580, k,·k,-2.2411820888519287,0.10633273531778097
44,503,.s,.s,-2.9651083946228027,0.05155488067039003
45,14151,ucc,ucc,-0.00024780540843494236,0.9997522252927893
46,478, +,·+,-0.028835272416472435,0.9715764967338978
47,220, ,·,-0.0060226391069591045,0.9939954606296575
48,15,0,0,-0.01497116032987833,0.9851403503161096
49,283, =,·=,-0.0007682471186853945,0.9992320479075765
50,580, k,·k,-0.07572252303361893,0.9270734123914679
51,503,.s,.s,-0.06320171803236008,0.9387540909607212
52,14151,ucc,ucc,-4.577531944960356e-05,0.9999542257282243
53,1610, :=,·:=,-0.021200820803642273,0.9790223367741897
54,539, by,·by,-0.15273649990558624,0.8583558688676872
55,198,"
",↵,-0.048724494874477386,0.952443496620219
56,285,       ,·······,-0.00956807006150484,0.9904775582798317
57,1586, sim,·sim,-4.3724517822265625,0.01262026047497649
58,6387,pa,pa,-0.01777188666164875,0.9823851019458497
59,1608, using,·using,-1.2200462818145752,0.2952165034523592
60,29184, congr,·congr,-7.366777420043945,0.0006319012537798907
61,2648,Arg,Arg,-2.082827568054199,0.12457746246852293
62,23088, Nat,·Nat,-4.092092037200928,0.016704251064359462
63,503,.s,.s,-1.091352939605713,0.335761920670575
64,14151,ucc,ucc,-0.000493762141559273,0.9995063597389061
65,304, h,·h,-0.15450666844844818,0.8568377783444924
66,16,1,1,-0.003003374207764864,0.9970011314087383
67,198,"
",↵,-0.029064223170280457,0.971354079024911
68,406,     ,·····,-0.0055564953945577145,0.9944589133731847
69,4581, exact,·exact,-2.7997264862060547,0.06082669729095821
70,80505, hk,·hk,-3.07444429397583,0.04621530336963799
71,198,"
",↵,-3.0818543434143066,0.045874111372840025
