token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.07318296283483505,0.9294307631810966
1,19104, intro,·intro,-0.24717915058135986,0.7810007642565862
2,304, h,·h,-1.1608319282531738,0.3132254913242893
3,47,P,P,-0.34016910195350647,0.7116499711867127
4,304, h,·h,-0.33418604731559753,0.715920574735034
5,48,Q,Q,-0.0029221950098872185,0.9970820704461077
6,198,"
",↵,-5.705002784729004,0.003329268114009181
7,220, ,·,-0.00890746433287859,0.9911320895986735
8,599, have,·have,-3.715392589569092,0.024345881299556015
9,304, h,·h,-0.39590272307395935,0.6730721671443393
10,16,1,1,-4.653867244720459,0.009524696283538192
11,535, :,·:,-0.5937267541885376,0.5522652878685673
12,387, P,·P,-0.9944517016410828,0.3699262188872955
13,1610, :=,·:=,-0.30775779485702515,0.7350933398367724
14,539, by,·by,-1.9069254398345947,0.1485363692672488
15,198,"
",↵,-1.2606287002563477,0.283475749187964
16,262,   ,···,-0.0411161407828331,0.9597176611144248
17,4581, exact,·exact,-1.1614912748336792,0.31301903523819424
18,304, h,·h,-0.14446891844272614,0.865481812507581
19,47,P,P,-0.1473568081855774,0.8629860020059588
20,198,"
",↵,-0.2564501166343689,0.7737935930254776
21,220, ,·,-0.014136181212961674,0.9859632654465192
22,599, have,·have,-1.0209565162658691,0.3602501901531985
23,304, h,·h,-0.003631902625784278,0.9963746847552354
24,17,2,2,-0.010093715973198414,0.9899570546129948
25,535, :,·:,-0.002920768689364195,0.9970834926057421
26,1167, Q,·Q,-0.5500374436378479,0.5769282076851747
27,1610, :=,·:=,-0.5677740573883057,0.5667856679501795
28,539, by,·by,-0.03629784658551216,0.9643530214490825
29,198,"
",↵,-0.0021308590658009052,0.9978714096026878
30,262,   ,···,-0.0004823236376978457,0.9995177926616492
31,4581, exact,·exact,-0.009436999447643757,0.9906073892897403
32,304, h,·h,-0.0012423425214365125,0.998758428866558
33,48,Q,Q,-0.00034374051028862596,0.9996563185617119
34,198,"
",↵,-0.014776782132685184,0.9853318587333136
35,220, ,·,-0.002479932736605406,0.9975231397562003
36,4581, exact,·exact,-1.4149556159973145,0.2429363956991001
37,304, h,·h,-0.12633439898490906,0.8813200849603449
38,16,1,1,-0.2642808258533478,0.7677579031116591
39,198,"
",↵,-3.319538116455078,0.036169534009087394
