token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.10312076658010483,0.9020180332704095
1,599, have,·have,-1.5289771556854248,0.2167572629017969
2,304, h,·h,-0.40923595428466797,0.6641575030239363
3,18,3,3,-0.21113352477550507,0.8096659491991414
4,535, :,·:,-0.23225204646587372,0.7927462892234711
5,830, x,·x,-0.10918953269720078,0.896560473868991
6,283, =,·=,-0.6733701229095459,0.5099869596473714
7,374, y,·y,-0.0094766765832901,0.9905680856057172
8,1610, :=,·:=,-0.013807261362671852,0.9862876216768582
9,539, by,·by,-0.2702401876449585,0.7631961620318575
10,198,"
",↵,-1.5428636074066162,0.2137680762676995
11,262,   ,···,-0.005118954926729202,0.994894124595696
12,9513, lin,·lin,-0.8311692476272583,0.43553973468221147
13,54741,arith,arith,-0.00017581824795342982,0.999824197207169
14,198,"
",↵,-0.29042723774909973,0.7479439494175532
15,220, ,·,-0.007396575063467026,0.9926307122787944
16,599, have,·have,-1.894331932067871,0.15041879145777307
17,304, h,·h,-0.00970644410699606,0.9903405113752103
18,19,4,4,-0.003878809744492173,0.9961287031212269
19,535, :,·:,-0.006222991272807121,0.9937963314349261
20,830, x,·x,-0.1172005832195282,0.8894067751957454
21,478, +,·+,-0.08993798494338989,0.9139878645228858
22,220, ,·,-0.0003668589051812887,0.9996332083793187
23,16,1,1,-0.0001311216183239594,0.9998688869777397
24,283, =,·=,-0.2020585983991623,0.8170470488903272
25,830, x,·x,-1.5897798538208008,0.20397051012040035
26,1610, :=,·:=,-1.6567631959915161,0.19075541982356578
27,539, by,·by,-0.02038457803428173,0.9798217829042997
28,198,"
",↵,-0.08298207819461823,0.9203676417220733
29,262,   ,···,-0.0021192014683037996,0.9978830424537403
30,9513, lin,·lin,-0.4010799527168274,0.6695965228365218
31,54741,arith,arith,-1.9073304429184645e-05,0.9999809268774651
32,198,"
",↵,-0.04040072485804558,0.960404504072386
33,220, ,·,-0.00775647209957242,0.9922735317054683
34,9739, calc,·calc,-6.443973064422607,0.0015900766371874265
35,198,"
",↵,-0.13774067163467407,0.8713246216393151
36,262,   ,···,-0.01676470786333084,0.9833750378298466
37,830, x,·x,-0.021591834723949432,0.9786396002447513
38,478, +,·+,-0.0032031440641731024,0.9968019805287115
39,220, ,·,-0.0001245659514097497,0.9998754418066063
40,16,1,1,-5.376194530981593e-05,0.9999462394998376
41,283, =,·=,-0.018307987600564957,0.9818585855159057
42,830, x,·x,-0.21105995774269104,0.8097255161116481
43,1610, :=,·:=,-0.199284628033638,0.8193166596523146
44,304, h,·h,-0.7780914306640625,0.4592817463965489
45,19,4,4,-0.008439707569777966,0.9915958067816786
46,198,"
",↵,-0.005593481939285994,0.9944221324543085
47,262,   ,···,-0.015303689986467361,0.9848128163941163
48,696, _,·_,-0.12321468442678452,0.8840738452994317
49,283, =,·=,-0.013531276024878025,0.986559860164476
50,374, y,·y,-0.14468175172805786,0.8652976287709404
51,1610, :=,·:=,-0.005527213681489229,0.9944880332600825
52,304, h,·h,-1.5725507736206055,0.2075151824362465
53,18,3,3,-0.0428021103143692,0.9581009696081725
54,198,"
",↵,-1.4618637561798096,0.23180384603355594
