token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.12079749256372452,0.8862134062275114
1,599, have,·have,-3.8229293823242188,0.021863659974418997
2,304, h,·h,-0.8988662362098694,0.40703087510421343
3,16,1,1,-1.9454975128173828,0.14291610305485342
4,535, :,·:,-0.39635610580444336,0.6727670770139108
5,387, P,·P,-0.33217930793762207,0.7173586832157111
6,1610, :=,·:=,-0.5200197696685791,0.5945087946121779
7,539, by,·by,-2.4539530277252197,0.08595313890215678
8,4581, exact,·exact,-1.9551841020584106,0.1415384167814922
9,304, h,·h,-0.14772574603557587,0.8626676725313066
10,198,"
",↵,-0.13201572000980377,0.8763272190986188
11,220, ,·,-0.002438073977828026,0.9975648957106024
12,6637, obtain,·obtain,-5.4197516441345215,0.004428246292214748
13,40618, ⟨,·⟨,-0.743224024772644,0.4755781654164705
14,20547,hp,hp,-4.553560256958008,0.010529649313437608
15,11,",",",",-1.594285011291504,0.20305365768596204
16,304, h,·h,-0.9701905250549316,0.37901082016662213
17,80,q,q,-0.07471145689487457,0.9280112189391999
18,38297,⟩,⟩,-0.017007337883114815,0.9831364704679351
19,1610, :=,·:=,-0.21757836639881134,0.804464559459041
20,304, h,·h,-0.6023129224777222,0.5475437441579755
21,16,1,1,-0.3872639834880829,0.6789118497505964
22,198,"
",↵,-0.171559676527977,0.8423499979968471
23,220, ,·,-0.002419522497802973,0.9975834021874995
24,599, have,·have,-3.7131690979003906,0.024400074390408602
25,304, h,·h,-0.268175333738327,0.7647736787188075
26,17,2,2,-0.08335493505001068,0.9200245403052084
27,535, :,·:,-0.0595424585044384,0.9421955285289286
28,387, P,·P,-0.2505253255367279,0.7783917665748453
29,1610, :=,·:=,-0.24275793135166168,0.7844613842967489
30,539, by,·by,-0.3139232397079468,0.730575105165593
31,198,"
",↵,-3.0247840881347656,0.0485683066116862
32,262,   ,···,-0.011783518828451633,0.98828563493812
33,4581, exact,·exact,-1.4831641912460327,0.22691853756833677
34,20004, hp,·hp,-0.5260684490203857,0.590923655151895
35,198,"
",↵,-0.20851044356822968,0.8117925566473195
36,220, ,·,-0.017390506342053413,0.9827598357435011
37,4581, exact,·exact,-0.47888872027397156,0.6194714154668249
38,304, h,·h,-0.044848114252090454,0.9561426952532731
39,17,2,2,-0.05509995296597481,0.9463905486835124
40,198,"
",↵,-3.223390579223633,0.03981981687311721
