token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.12767629325389862,0.880138239722211
1,9889, rc,·rc,-1.2008733749389648,0.30093127127535196
2,2191,ases,ases,-3.421248038648628e-05,0.9999657881048537
3,304, h,·h,-0.06487870216369629,0.9371811345270746
4,440, with,·with,-0.007907159626483917,0.9921240197260339
5,40618, ⟨,·⟨,-5.174917221069336,0.005656685148920576
6,71,h,h,-0.5490137338638306,0.5775191171385746
7,47,P,P,-0.6576247215270996,0.5180804595194284
8,11,",",",",-0.10959558188915253,0.8961965001136661
9,304, h,·h,-0.3929586112499237,0.6750566867604412
10,48,Q,Q,-0.04032653197646141,0.9604757618934083
11,38297,⟩,⟩,-0.0022247107699513435,0.997777762064933
12,198,"
",↵,-0.14093445241451263,0.8685462409408381
13,220, ,·,-0.02210058830678463,0.9781418404710928
14,599, have,·have,-6.805790901184082,0.0011073440249928668
15,304, h,·h,-0.9171066284179688,0.39967377448370717
16,16,1,1,-2.5561165809631348,0.07760553081348524
17,535, :,·:,-0.46501922607421875,0.6281230287335808
18,1167, Q,·Q,-0.7894101738929749,0.45411256375180487
19,1610, :=,·:=,-2.0878055095672607,0.12395886409716539
20,539, by,·by,-1.6654589176177979,0.1891038549751493
21,198,"
",↵,-1.0978586673736572,0.33358463511277653
22,262,   ,···,-0.020276878029108047,0.9799273153982108
23,4581, exact,·exact,-1.5547175407409668,0.21124904346298673
24,304, h,·h,-0.47031357884407043,0.6248063115194247
25,48,Q,Q,-0.1179606094956398,0.8887310594898175
26,198,"
",↵,-0.12400563061237335,0.8833748669272916
27,220, ,·,-0.007459525018930435,0.9925682281863709
28,4581, exact,·exact,-1.1640524864196777,0.3122183530544402
29,2441, Or,·Or,-0.29617568850517273,0.7436567645971512
30,1794,.in,.in,-0.0434432178735733,0.9574869206908093
31,75,l,l,-0.7289986610412598,0.48239178601739163
32,304, h,·h,-0.05331685021519661,0.9480795656720868
33,16,1,1,-0.04357972368597984,0.9573562270812533
34,198,"
",↵,-2.351856231689453,0.09519229915464092
