token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.08511257916688919,0.9184088848741275
1,599, have,·have,-2.4342563152313232,0.08766291638802685
2,304, h,·h,-0.5598331093788147,0.5713044012395442
3,16,1,1,-0.7112335562705994,0.49103810058244207
4,535, :,·:,-0.34025242924690247,0.7115906737913484
5,264, a,·a,-0.05336160212755203,0.9480371382478192
6,478, +,·+,-0.7035773992538452,0.49481199370644613
7,264, a,·a,-0.017521826550364494,0.9826307879906259
8,283, =,·=,-0.005657612346112728,0.9943583618032374
9,292, b,·b,-0.20815269649028778,0.8120830250163623
10,478, +,·+,-0.00022718709078617394,0.9997728387142467
11,264, a,·a,-6.754092693328857,0.0011660973624120388
12,1610, :=,·:=,-0.017042145133018494,0.983102250786668
13,539, by,·by,-0.14461541175842285,0.8653550344934842
14,198,"
",↵,-1.2901005744934082,0.2752430992623598
15,262,   ,···,-0.003804827108979225,0.9962024020741816
16,25160, rw,·rw,-0.10877913981676102,0.8969284914150757
17,498, [,·[,-0.009156025014817715,0.9908857637453203
18,10259,hab,hab,-0.13124363124370575,0.8770040827657031
19,60,],],-0.0916839987039566,0.9123934214992312
20,198,"
",↵,-0.02482318878173828,0.9754823730081298
21,220, ,·,-0.1813538372516632,0.834140156611605
22,599, have,·have,-0.0651138499379158,0.9369607843776889
23,304, h,·h,-0.0001935771433636546,0.9998064415914827
24,17,2,2,-0.00042298430344089866,0.9995771051418079
25,535, :,·:,-0.0001961992384167388,0.9998038200073951
26,292, b,·b,-0.012455414980649948,0.9876218326508062
27,478, +,·+,-0.0001656871900195256,0.9998343265353449
28,264, a,·a,-0.0037802441511303186,0.9962268919768568
29,283, =,·=,-0.0017316836165264249,0.9982698148824473
30,292, b,·b,-0.15817351639270782,0.8537016378874852
31,478, +,·+,-8.320462075062096e-05,0.9999167988406579
32,292, b,·b,-0.9530636668205261,0.3855579909468618
33,1610, :=,·:=,-0.0024358145892620087,0.9975671495998678
34,539, by,·by,-0.002643544925376773,0.9973599461625493
35,198,"
",↵,-0.005149316508322954,0.9948639184951098
36,262,   ,···,-0.00021717573690693825,0.9997828478440363
37,25160, rw,·rw,-0.02931777946650982,0.9711078173042305
38,498, [,·[,-0.0021112312097102404,0.9978909958713301
39,71,h,h,-0.08207046985626221,0.9212070390813057
40,8635,bc,bc,-0.009625098668038845,0.9904210743354955
41,60,],],-0.07671158760786057,0.9261569302262838
42,198,"
",↵,-0.012593389488756657,0.9874855754144795
43,220, ,·,-0.026958834379911423,0.9734013113681587
44,599, have,·have,-0.10111430287361145,0.9038297166474368
45,304, h,·h,-0.000754786713514477,0.9992454980663231
46,18,3,3,-0.0003946240758523345,0.9996054537779869
47,535, :,·:,-0.0002019201492657885,0.9997981002352355
48,292, b,·b,-0.011196521110832691,0.9888659266484767
49,478, +,·+,-0.00018952481332235038,0.9998104931453705
50,292, b,·b,-0.01057190541177988,0.9894837807711244
51,283, =,·=,-0.0002727136597968638,0.999727323523193
52,272, c,·c,-0.08194977045059204,0.9213182349339237
53,478, +,·+,-2.276871418871451e-05,0.9999772315450165
54,292, b,·b,-1.3614788055419922,0.2562815060772397
55,1610, :=,·:=,-0.003991732373833656,0.9960162239997465
56,539, by,·by,-0.0018380667315796018,0.9981636214785692
57,198,"
",↵,-0.0015841089189052582,0.9984171451193631
58,262,   ,···,-0.00010787858627736568,0.9998921272324081
59,25160, rw,·rw,-0.011652149260044098,0.9884154741237174
60,498, [,·[,-0.0018685278482735157,0.9981332167630989
61,71,h,h,-0.8202219009399414,0.4403339331505157
62,8635,bc,bc,-0.029526136815547943,0.9709055009315702
63,60,],],-0.09534963965415955,0.9090550372079045
64,198,"
",↵,-0.0056017800234258175,0.9944138806900199
65,220, ,·,-0.012788664549589157,0.9872927629350162
66,599, have,·have,-0.05489223450422287,0.9465871518908525
67,304, h,·h,-0.0002559096028562635,0.9997441231392131
68,19,4,4,-0.0003933132975362241,0.9996067640399992
69,535, :,·:,-7.283422019099817e-05,0.9999271684321565
70,272, c,·c,-0.055375419557094574,0.9461298856088312
71,478, +,·+,-1.847726889536716e-05,0.9999815229018083
72,292, b,·b,-0.000806483207270503,0.9991938419129041
73,283, =,·=,-0.0007621721015311778,0.9992381182778473
74,272, c,·c,-0.0008847374701872468,0.999115653794611
75,478, +,·+,-2.3483953555114567e-05,0.9999765163221908
76,272, c,·c,-0.006619786377996206,0.9934020761395164
77,1610, :=,·:=,-0.0008891443139873445,0.9991112508576879
78,539, by,·by,-0.0004605186404660344,0.9995395873819674
79,198,"
",↵,-0.0007580029196105897,0.9992422842920288
80,262,   ,···,-0.00013886917440686375,0.9998611404674707
81,25160, rw,·rw,-0.010506555438041687,0.9895484456231124
82,498, [,·[,-0.002292387653142214,0.9977102378608188
83,10259,hab,hab,-0.5670151710510254,0.5672159570993808
84,60,],],-0.16544124484062195,0.8475196578946365
85,198,"
",↵,-0.021578067913651466,0.9786530730832167
86,220, ,·,-0.0811024084687233,0.9220992558363865
87,9739, calc,·calc,-1.9145539999008179,0.1474075617146184
88,198,"
",↵,-0.18794681131839752,0.8286587813286259
89,262,   ,···,-0.01714773289859295,0.982998452696677
90,264, a,·a,-0.0029830504208803177,0.9970213944531668
91,478, +,·+,-6.151010165922344e-05,0.9999384917900483
92,264, a,·a,-0.00019298121333122253,0.9998070374063454
93,283, =,·=,-0.011451349593698978,0.9886139675491716
94,292, b,·b,-0.08270785957574844,0.920620058272716
95,478, +,·+,-7.795983401592821e-05,0.999922043204773
96,264, a,·a,-0.018252622336149216,0.9819129478809911
97,1610, :=,·:=,-0.003187933936715126,0.9968171421291904
98,304, h,·h,-0.5811237096786499,0.5592695567178558
99,16,1,1,-0.003105700248852372,0.9968991174494327
100,198,"
",↵,-0.009065893478691578,0.9909750778262794
101,262,   ,···,-0.027120579034090042,0.9732438816417259
102,696, _,·_,-0.21529345214366913,0.8063047935866717
103,283, =,·=,-0.005478487350046635,0.9945364921942103
104,292, b,·b,-0.0012841320130974054,0.9987166921316082
105,478, +,·+,-2.002696055569686e-05,0.9999799732399826
106,292, b,·b,-0.0007120219524949789,0.9992882314749832
107,1610, :=,·:=,-0.003346084151417017,0.9966595077494281
108,304, h,·h,-0.0159185528755188,0.9842074776598859
109,17,2,2,-0.00033754375181160867,0.9996625132096714
110,198,"
",↵,-0.0008641323074698448,0.999136240947331
111,262,   ,···,-0.0002598424907773733,0.9997401912653588
112,696, _,·_,-9.560128091834486e-05,0.9999044032887385
113,283, =,·=,-9.297892393078655e-05,0.9999070253984754
114,272, c,·c,-0.012012639082968235,0.9880592246204932
115,478, +,·+,-3.194758028257638e-05,0.9999680529300359
116,292, b,·b,-0.03704078495502472,0.9636368326626994
117,1610, :=,·:=,-0.00021050144277978688,0.9997895207110944
118,304, h,·h,-0.004428461194038391,0.9955813299816224
119,18,3,3,-0.002272644080221653,0.9977299364201129
120,198,"
",↵,-0.0007538337376900017,0.9992464503235793
121,262,   ,···,-0.00022289653134066612,0.9997771283082456
122,696, _,·_,-5.1616290875244886e-05,0.9999483850412226
