token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.10281781107187271,0.9022913460008216
1,599, have,·have,-3.719186782836914,0.024253683339675425
2,304, h,·h,-0.5935303568840027,0.5523737619341513
3,16,1,1,-1.3076648712158203,0.2704508571788082
4,535, :,·:,-0.3075949549674988,0.7352130521017244
5,318, (,·(,-0.6725627779960632,0.5103988612761543
6,87,x,x,-0.012203079648315907,0.987871075979295
7,478, +,·+,-0.016769863665103912,0.9833699677561532
8,374, y,·y,-0.0021648798137903214,0.9978374618484032
9,28803,)^,)^,-0.06251425296068192,0.9393996734914464
10,17,2,2,-0.0013991338200867176,0.9986018445113112
11,283, =,·=,-0.010364163666963577,0.9896893592110818
12,830, x,·x,-0.19615986943244934,0.8218808305527935
13,61,^,^,-0.016056988388299942,0.9840712378234664
14,17,2,2,-0.00018499570433050394,0.9998150214063196
15,478, +,·+,-0.0004542034293990582,0.9995458997053632
16,220, ,·,-0.34601765871047974,0.7074999934586422
17,17,2,2,-0.00063744728686288,0.9993627558394959
18,17930,*x,*x,-0.4080236852169037,0.6649631288399422
19,32144,*y,*y,-0.0004978132783435285,0.9995023106101278
20,478, +,·+,-0.00023243109171744436,0.999767595918296
21,374, y,·y,-0.00018594920402392745,0.9998140680834577
22,61,^,^,-4.1960789531003684e-05,0.9999580400908106
23,17,2,2,-9.870041685644537e-05,0.9999013044538695
24,1610, :=,·:=,-0.03129078447818756,0.9691937056107215
25,539, by,·by,-0.0626906082034111,0.9392340200413646
26,198,"
",↵,-0.43294715881347656,0.6485947634163636
27,262,   ,···,-0.003816346637904644,0.996190926357893
28,9761, ring,·ring,-1.5306198596954346,0.21640148717394114
29,75545,_nf,_nf,-1.857118844985962,0.1561217940919773
30,198,"
",↵,-0.06242823973298073,0.9394804777645331
31,220, ,·,-0.017153475433588028,0.9829928078098702
32,599, have,·have,-1.0211460590362549,0.36018191380497333
33,304, h,·h,-0.0003000047872774303,0.9997000402096589
34,17,2,2,-0.00024816294899210334,0.9997518678408855
35,535, :,·:,-0.003967510536313057,0.9960403496350746
36,830, x,·x,-1.2305023670196533,0.2921457764068897
37,61,^,^,-0.08453347533941269,0.9189408930036507
38,17,2,2,-0.00012516192509792745,0.999874845907329
39,478, +,·+,-0.009226660244166851,0.990815774774012
40,220, ,·,-0.09568530321121216,0.9087499517664555
41,17,2,2,-0.0004823236376978457,0.9995177926616492
