token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.09282027930021286,0.9113572753460978
1,599, have,·have,-3.691769599914551,0.024927850666253207
2,304, h,·h,-0.8084953427314758,0.44552792897629506
3,16,1,1,-1.7648335695266724,0.17121527955383475
4,535, :,·:,-0.7112201452255249,0.49104468596070056
5,264, a,·a,-0.3750886619091034,0.6872283451126964
6,283, =,·=,-0.08539292961359024,0.9181514446214298
7,292, b,·b,-0.013906842097640038,0.9861894113206126
8,1610, :=,·:=,-0.043085094541311264,0.9578298805047347
9,539, by,·by,-3.1796131134033203,0.041601747166451285
10,4581, exact,·exact,-2.5037708282470703,0.08177605304885609
11,304, h,·h,-0.07731389999389648,0.9255992623977749
12,198,"
",↵,-0.061150018125772476,0.9406821098231856
13,220, ,·,-0.0014279417227953672,0.9985730773008933
14,25160, rw,·rw,-0.846510112285614,0.4289091679099774
15,498, [,·[,-0.01655215211212635,0.9835840820657185
16,71,h,h,-0.475198894739151,0.621761379098729
17,16,1,1,-0.025245916098356247,0.9750700971084617
18,60,],],-0.053891394287347794,0.9475350086286928
19,506, at,·at,-2.031886100769043,0.13108804257917672
20,304, h,·h,-1.836086630821228,0.15944015501663095
21,16,1,1,-3.343251943588257,0.0353219059065454
22,198,"
",↵,-0.05618017539381981,0.9453687883508936
23,220, ,·,-0.0011624491307884455,0.9988382262514779
24,599, have,·have,-4.4025702476501465,0.01224582461742658
25,304, h,·h,-0.043990835547447205,0.9569627274723712
26,17,2,2,-0.015565219335258007,0.9845552926160449
27,535, :,·:,-0.05792488902807236,0.9437208285634517
28,292, b,·b,-0.28953760862350464,0.7486096382034295
29,283, =,·=,-0.0020816102623939514,0.9979205547857256
30,292, b,·b,-2.0496368408203125,0.12878166333989102
31,1610, :=,·:=,-0.005561237223446369,0.9944541978303608
32,539, by,·by,-0.2884911596775055,0.7493934299978162
33,198,"
",↵,-3.2132039070129395,0.04022752134544244
34,262,   ,···,-0.014462172985076904,0.9856419019181548
35,4581, exact,·exact,-1.5310163497924805,0.2163157031346755
36,304, h,·h,-2.0743181705474854,0.12564206475510065
37,16,1,1,-0.19008301198482513,0.826890489273489
38,198,"
",↵,-0.8614498376846313,0.42254901051878746
39,220, ,·,-0.015200372785329819,0.9849145697542963
40,599, have,·have,-2.421668529510498,0.08877337282619939
41,304, h,·h,-0.01724405214190483,0.9829037755892233
42,18,3,3,-0.00819498859345913,0.9918384987868946
43,535, :,·:,-0.006590890698134899,0.9934307815826117
44,292, b,·b,-0.16011419892311096,0.8520464806195357
45,283, =,·=,-0.0020992164500057697,0.9979029853638821
46,264, a,·a,-0.13182787597179413,0.8764918474038107
47,1610, :=,·:=,-0.004838425200432539,0.9951732611233793
48,539, by,·by,-0.0570785254240036,0.9445198976289367
49,198,"
",↵,-0.037160474807024,0.9635215020149087
50,262,   ,···,-0.002020938089117408,0.9979811026313079
51,1586, sim,·sim,-4.75260066986084,0.008629224232613746
52,6387,pa,pa,-0.004850525874644518,0.9951612189288215
53,1608, using,·using,-1.4486064910888672,0.2348973917385326
54,304, h,·h,-0.0059966882690787315,0.9940212559794142
55,17,2,2,-0.4113103449344635,0.6627812088890415
56,198,"
",↵,-0.13789668679237366,0.8711886923948495
57,220, ,·,-0.006141954567283392,0.9938768686787794
58,4581, exact,·exact,-0.11957559734582901,0.8872969279908356
59,304, h,·h,-0.01398102194070816,0.9861162586581054
60,18,3,3,-0.0023657686542719603,0.9976370275708822
61,198,"
",↵,-3.2368218898773193,0.03928856026532783
