token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.1203586533665657,0.886602396753114
1,599, have,·have,-3.364922523498535,0.034564693965830305
2,304, h,·h,-1.0087627172470093,0.36466990033397517
3,16,1,1,-1.7522426843643188,0.17338466002762834
4,535, :,·:,-0.6897345781326294,0.5017092159922066
5,220, ,·,-3.3972082138061523,0.03346657117256329
6,15,0,0,-0.08158528804779053,0.9216541004227492
7,478, +,·+,-0.778050422668457,0.45930058100656895
8,307, n,·n,-0.909150242805481,0.4028664172589632
9,283, =,·=,-0.011832409538328648,0.9882373181329978
10,295, m,·m,-1.1473939418792725,0.3174630193633294
11,1610, :=,·:=,-0.5025832056999207,0.6049658881887838
12,539, by,·by,-0.1668924242258072,0.8462906468120176
13,198,"
",↵,-1.0306123495101929,0.3567884144518404
14,262,   ,···,-0.014782772399485111,0.9853259563502719
15,1586, sim,·sim,-2.9766364097595215,0.050963967796035986
16,6387,pa,pa,-9.798523387871683e-05,0.9999020195665175
17,1608, using,·using,-2.386981964111328,0.09190664327839598
18,304, h,·h,-0.05671973153948784,0.9448588463947455
19,198,"
",↵,-0.28030914068222046,0.7555501340649152
20,220, ,·,-0.025197094306349754,0.9751177029400261
21,599, have,·have,-2.178507089614868,0.11321041755063758
22,304, h,·h,-0.016737978905439377,0.9834013227711073
23,17,2,2,-0.007475143298506737,0.9925527260993429
24,535, :,·:,-0.005505518056452274,0.9945096095336103
25,307, n,·n,-0.8325979113578796,0.43491793913416144
26,283, =,·=,-1.6361771821975708,0.1947230118637234
27,295, m,·m,-0.34915274381637573,0.7052853940594211
28,1610, :=,·:=,-0.12792891263961792,0.8799159278220743
29,539, by,·by,-0.4059631824493408,0.6663346997848382
30,198,"
",↵,-0.1319083273410797,0.8764213352709563
31,262,   ,···,-0.00177952169906348,0.9982220607108918
32,4581, exact,·exact,-3.264453172683716,0.03821782792304905
33,304, h,·h,-0.05967139080166817,0.9420740569259705
34,198,"
",↵,-0.07344917207956314,0.9291833730498341
35,220, ,·,-0.008182810619473457,0.9918505774438774
36,599, have,·have,-1.6328328847885132,0.195375313665433
37,304, h,·h,-0.004621183034032583,0.9953894782034521
38,18,3,3,-0.001835091970860958,0.9981665907809176
39,535, :,·:,-0.0008279233006760478,0.9991724193332552
40,295, m,·m,-0.436623215675354,0.6462148691790367
41,478, +,·+,-0.08930082619190216,0.9145704054553389
42,220, ,·,-0.006694271694868803,0.9933280850267532
43,15,0,0,-0.0002953569928649813,0.9997046866207177
44,283, =,·=,-0.0013069906271994114,0.9986938631130664
45,295, m,·m,-3.1423983573913574,0.04317911466812406
46,1610, :=,·:=,-0.034292083233594894,0.966289226533289
47,539, by,·by,-0.046055469661951065,0.954988987805172
48,198,"
",↵,-0.055211640894412994,0.946284854186146
49,262,   ,···,-0.0011144625023007393,0.9988861582803994
50,1586, sim,·sim,-1.3546130657196045,0.25804712241476935
51,6387,pa,pa,-0.00037293630884960294,0.9996271332232517
52,1608, using,·using,-0.4257723093032837,0.6532650675667075
53,23088, Nat,·Nat,-1.2311286926269531,0.291962855316123
54,1316,.add,.add,-0.42812976241111755,0.651726839665409
55,18772,_zero,_zero,-0.0938759446144104,0.9103956947246289
56,295, m,·m,-2.689725399017334,0.06789958210395636
57,198,"
",↵,-0.019505709409713745,0.9806832960499458
58,220, ,·,-0.003265170380473137,0.9967401544912192
59,9739, calc,·calc,-4.230264663696289,0.014548539568573502
60,198,"
",↵,-0.10386695712804794,0.90134520699943
61,262,   ,···,-0.03085673414170742,0.969614475775866
62,295, m,·m,-0.017597613856196404,0.9825563198724813
63,478, +,·+,-0.0005063920398242772,0.9994937361549848
64,220, ,·,-0.0002805792901199311,0.9997194600685679
65,15,0,0,-0.00021884430316276848,0.999781179641505
66,283, =,·=,-0.01303096767514944,0.9870535677927496
67,295, m,·m,-0.04032493010163307,0.9604773004565869
68,1610, :=,·:=,-0.00853698793798685,0.9914993486682969
69,304, h,·h,-0.6938223242759705,0.4996625420711058
70,18,3,3,-0.014005472883582115,0.9860921474805695
71,198,"
",↵,-0.003144084708765149,0.9968608527496116
72,262,   ,···,-0.010964030399918556,0.9890958555178895
73,696, _,·_,-0.05435981974005699,0.9470912630522933
74,283, =,·=,-0.01243269257247448,0.987644274052171
75,307, n,·n,-0.07699187099933624,0.9258973801963217
76,1610, :=,·:=,-0.0017893984913825989,0.9982122015275984
77,539, by,·by,-0.43754661083221436,0.6456184329141046
78,198,"
",↵,-0.4860409200191498,0.615056638669149
79,406,     ,·····,-0.0036532822996377945,0.9963533828171545
80,1586, sim,·sim,-0.4749673306941986,0.6219053733499705
81,6387,pa,pa,-5.2689116273541003e-05,0.9999473122717736
82,1608, using,·using,-0.2405514270067215,0.7861942127933947
83,304, h,·h,-0.011476215906441212,0.9885893846707173
84,17,2,2,-0.26575344800949097,0.7666281178905295
85,198,"
",↵,-1.7002437114715576,0.18263900740708738
