token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.07322882860898972,0.9293881350972126
1,599, have,·have,-2.230034828186035,0.10752468518084149
2,304, h,·h,-0.4681815803050995,0.6261398186752657
3,16,1,1,-2.2947754859924316,0.1007840181522212
4,1610, :=,·:=,-0.2611615061759949,0.7701565245348676
5,304, h,·h,-0.015416502952575684,0.9847017230057425
6,198,"
",↵,-5.4671244621276855,0.004223359143002576
7,220, ,·,-0.025135833770036697,0.9751774410032508
8,45767, specialize,·specialize,-3.5143706798553467,0.029766529737708772
9,304, h,·h,-0.02182396687567234,0.9784124528937068
10,16,1,1,-0.03287262097001076,0.9676618115619213
11,198,"
",↵,-3.7005999088287354,0.024708699056525278
12,220, ,·,-0.007559502962976694,0.992468998216078
13,599, have,·have,-3.9115612506866455,0.02000923722733264
14,304, h,·h,-0.04244021326303482,0.9584477662725144
15,17,2,2,-0.07555573433637619,0.9272280506537677
16,535, :,·:,-2.6680262088775635,0.06938904972385726
17,281, f,·f,-0.16636313498020172,0.8467386979138865
18,220, ,·,-0.020480003207921982,0.9797282877014984
19,15,0,0,-4.356034278869629,0.012829163786903937
20,283, =,·=,-0.004512365907430649,0.9954977995198204
21,220, ,·,-0.008819790557026863,0.9912189897007108
22,15,0,0,-0.007658288348466158,0.9923709616258738
23,1610, :=,·:=,-0.10671865940093994,0.8987785003050419
24,539, by,·by,-0.8569002747535706,0.4244758035431803
25,198,"
",↵,-0.8093812465667725,0.4451334088545301
26,262,   ,···,-0.023823903873562813,0.9764576450278168
27,4581, exact,·exact,-2.1486783027648926,0.11663821634973026
28,304, h,·h,-0.08152167499065399,0.9217127315225315
29,16,1,1,-1.7008812427520752,0.1825226064353955
30,198,"
",↵,-1.1115738153457642,0.329040704052315
31,220, ,·,-0.01973213255405426,0.9804612717911159
32,599, have,·have,-0.21688084304332733,0.8050258880250564
33,304, h,·h,-0.0007798014557920396,0.999220502510347
34,18,3,3,-0.0022902467753738165,0.9977123738387728
35,535, :,·:,-0.004230122547596693,0.9957788118185263
36,281, f,·f,-0.011114825494587421,0.9889467159597596
37,220, ,·,-0.0037683683913201094,0.9962387229983933
38,18,3,3,-3.5712196826934814,0.028121533407022364
39,283, =,·=,-0.00226205843500793,0.99774049809114
40,220, ,·,-0.013852174393832684,0.9862433255049174
41,18,3,3,-0.01619517058134079,0.9839352660963676
42,1610, :=,·:=,-0.0035665729083120823,0.9964397797581829
43,539, by,·by,-0.028171861544251442,0.9722212649945149
44,198,"
",↵,-0.004872353747487068,0.9951394969133505
45,262,   ,···,-0.001438179169781506,0.9985628545142804
46,4581, exact,·exact,-0.7298491597175598,0.481981686861041
47,304, h,·h,-0.03917998448014259,0.9615776245216946
48,17,2,2,-3.2107014656066895,0.040328314422313626
49,198,"
",↵,-0.14943130314350128,0.861197597555417
50,220, ,·,-0.011603720486164093,0.9884633430323202
51,4581, exact,·exact,-0.15696966648101807,0.8547299853926973
52,304, h,·h,-0.01040380448102951,0.9896501278967961
53,18,3,3,-0.02435165084898472,0.9759424584150715
54,198,"
",↵,-2.96598219871521,0.05150985148088682
