token_index,token_id,token_text,pretty_token,logprob,prob
0,220, ,·,-0.10557125508785248,0.899810354496571
1,1308, trans,·trans,-7.08378267288208,0.0008385950106346054
2,292, b,·b,-5.478446960449219,0.004175809862498684
3,198,"
",↵,-1.0537415742874146,0.34863087743024
4,220, ,·,-0.02652568370103836,0.9738230321347183
5,9306, ·,··,-5.090155124664307,0.006157064700489527
6,4581, exact,·exact,-2.348907709121704,0.09547338999467174
7,5866, hab,·hab,-0.28898364305496216,0.7490244570543453
8,198,"
",↵,-0.28030678629875183,0.7555519129217547
9,220, ,·,-0.001842707279138267,0.99815898946356
10,9306, ·,··,-0.05790159851312637,0.943742808563476
11,4581, exact,·exact,-0.15200820565223694,0.858981232210935
12,304, h,·h,-0.015084833838045597,0.9850283723210383
13,8635,bc,bc,-0.0004644507134798914,0.9995356571270565
14,198,"
",↵,-2.2348554134368896,0.1070076005958536
